scenario,mode,ue_id,name,slice,x,y,serving_gnb,throughput_bps,queue_bits
g0_embb_moving_to_g1,baseline,0,e0,eMBB,270.0,-33.000000000000256,1,32380.223215845454,331412664.0
g0_embb_moving_to_g1,baseline,1,e1,eMBB,285.0,-14.000000000000128,1,42354.8116465551,331838856.0
g0_embb_moving_to_g1,baseline,2,e2,eMBB,295.0,5.0,1,39395.55177030059,331963442.0
g0_embb_moving_to_g1,baseline,3,e3,eMBB,305.0,24.000000000000128,1,37501.94532494319,332009766.0
g0_embb_moving_to_g1,baseline,4,e4,eMBB,315.0,43.000000000000256,1,45784.28406552925,332022472.0
g0_embb_moving_to_g1,baseline,5,u1,URLLC,450.0,70.0,1,114387.99583985194,61944152.0
g0_embb_moving_to_g1,baseline,6,m1,mMTC,225.0,330.0,2,604778.3678608502,0.0
g0_embb_moving_to_g1,heuristic,0,e0,eMBB,270.0,-33.000000000000256,1,19167.52845264197,331662192.0
g0_embb_moving_to_g1,heuristic,1,e1,eMBB,285.0,-14.000000000000128,1,26967.132878963723,331937034.0
g0_embb_moving_to_g1,heuristic,2,e2,eMBB,295.0,5.0,1,31726.082685583136,332418638.0
g0_embb_moving_to_g1,heuristic,3,e3,eMBB,305.0,24.000000000000128,1,36523.40919441122,332277224.0
g0_embb_moving_to_g1,heuristic,4,e4,eMBB,315.0,43.000000000000256,1,35092.86627623091,332278714.0
g0_embb_moving_to_g1,heuristic,5,u1,URLLC,450.0,70.0,1,87019.69203453521,67877436.0
g0_embb_moving_to_g1,heuristic,6,m1,mMTC,225.0,330.0,2,601670.3396161643,0.0
g1_urllc_center_no_feasible_ho,baseline,0,u0,URLLC,420.0,-35.0,1,171481.98654969977,179868882.0
g1_urllc_center_no_feasible_ho,baseline,1,u1,URLLC,440.0,-15.0,1,168036.68711674784,179885942.0
g1_urllc_center_no_feasible_ho,baseline,2,u2,URLLC,460.0,5.0,1,168416.08240044897,179882530.0
g1_urllc_center_no_feasible_ho,baseline,3,u3,URLLC,480.0,25.0,1,171813.78609707838,179867176.0
g1_urllc_center_no_feasible_ho,baseline,4,u4,URLLC,450.0,50.0,1,171180.80634623018,179870198.0
g1_urllc_center_no_feasible_ho,baseline,5,e0,eMBB,60.0,30.0,0,808823.0508005216,70211700.0
g1_urllc_center_no_feasible_ho,baseline,6,m0,mMTC,225.0,340.0,2,598482.2275102758,0.0
g1_urllc_center_no_feasible_ho,heuristic,0,u0,URLLC,420.0,-35.0,1,171186.04403673255,179868882.0
g1_urllc_center_no_feasible_ho,heuristic,1,u1,URLLC,440.0,-15.0,1,171841.06345403998,179865470.0
g1_urllc_center_no_feasible_ho,heuristic,2,u2,URLLC,460.0,5.0,1,168416.08240044897,179882530.0
g1_urllc_center_no_feasible_ho,heuristic,3,u3,URLLC,480.0,25.0,1,171505.64103984478,179867176.0
g1_urllc_center_no_feasible_ho,heuristic,4,u4,URLLC,450.0,50.0,1,168061.54173416898,179885942.0
g1_urllc_center_no_feasible_ho,heuristic,5,e0,eMBB,60.0,30.0,0,833101.0916220675,67718300.0
g1_urllc_center_no_feasible_ho,heuristic,6,m0,mMTC,225.0,340.0,2,598482.2275102758,0.0
g0_source_g1_busy_target,baseline,0,src0,eMBB,279.9999999999966,-28.9999999999996,1,39981.85668124937,294777400.0
g0_source_g1_busy_target,baseline,1,src1,eMBB,289.9999999999966,0.0,1,37464.185446502364,294957902.0
g0_source_g1_busy_target,baseline,2,src2,eMBB,299.9999999999966,28.9999999999996,1,40122.976585351185,295071348.0
g0_source_g1_busy_target,baseline,3,dst0,eMBB,405.0,-55.0,1,98570.09108313108,365319604.0
g0_source_g1_busy_target,baseline,4,dst1,eMBB,430.0,-20.0,1,97028.60092140474,365324972.0
g0_source_g1_busy_target,baseline,5,dst2,eMBB,460.0,15.0,1,96443.35939694553,365326678.0
g0_source_g1_busy_target,baseline,6,dst3,eMBB,485.0,50.0,1,98742.9746775483,365337030.0
g0_source_g1_busy_target,baseline,7,m0,mMTC,225.0,340.0,2,598482.2275102758,0.0
g0_source_g1_busy_target,heuristic,0,src0,eMBB,279.9999999999966,-28.9999999999996,1,25500.517311779946,294691416.0
g0_source_g1_busy_target,heuristic,1,src1,eMBB,289.9999999999966,0.0,1,25202.46723133316,295125518.0
g0_source_g1_busy_target,heuristic,2,src2,eMBB,299.9999999999966,28.9999999999996,1,29825.937114742952,295146726.0
g0_source_g1_busy_target,heuristic,3,dst0,eMBB,405.0,-55.0,1,91088.35905584462,365682384.0
g0_source_g1_busy_target,heuristic,4,dst1,eMBB,430.0,-20.0,1,92765.2841586198,365666172.0
g0_source_g1_busy_target,heuristic,5,dst2,eMBB,460.0,15.0,1,93792.07341931379,365664466.0
g0_source_g1_busy_target,heuristic,6,dst3,eMBB,485.0,50.0,1,91983.24738782395,365670920.0
g0_source_g1_busy_target,heuristic,7,m0,mMTC,225.0,340.0,2,598482.2275102758,0.0
mixed_mobile_balanced,baseline,0,e0,eMBB,140.0,50.000000000000426,0,66339.66473933162,180798290.0
mixed_mobile_balanced,baseline,1,u0,URLLC,60.000000000000426,-15.000000000000414,0,272012.04676091607,84315834.0
mixed_mobile_balanced,baseline,2,m0,mMTC,84.99999999999915,129.9999999999983,0,110120.67763274525,14990214.0
mixed_mobile_balanced,baseline,3,e1,eMBB,345.0000000000068,1.5740186931623157e-13,1,144057.84946871112,178185868.0
mixed_mobile_balanced,baseline,4,u1,URLLC,459.9999999999932,74.99999999999964,1,219282.6549399194,84787592.0
mixed_mobile_balanced,baseline,5,m1,mMTC,394.9999999999966,129.9999999999983,1,136586.12446777566,14731456.0
mixed_mobile_balanced,baseline,6,e2,eMBB,225.0,255.00000000000662,2,131940.98037067655,179429008.0
mixed_mobile_balanced,baseline,7,u2,URLLC,209.9999999999983,339.9999999999932,2,291251.38617273245,84194604.0
mixed_mobile_balanced,baseline,8,m2,mMTC,239.99999999999775,349.9999999999932,2,296471.5548648573,10164898.0
mixed_mobile_balanced,heuristic,0,e0,eMBB,140.0,50.000000000000426,0,96337.79866849828,180276038.0
mixed_mobile_balanced,heuristic,1,u0,URLLC,60.000000000000426,-15.000000000000414,0,269959.19974613166,84365422.0
mixed_mobile_balanced,heuristic,2,m0,mMTC,84.99999999999915,129.9999999999983,0,132918.07788841953,14742448.0
mixed_mobile_balanced,heuristic,3,e1,eMBB,345.0000000000068,1.5740186931623157e-13,1,255353.088323486,177456712.0
mixed_mobile_balanced,heuristic,4,u1,URLLC,459.9999999999932,74.99999999999964,1,254820.40739608224,84507110.0
mixed_mobile_balanced,heuristic,5,m1,mMTC,394.9999999999966,129.9999999999983,1,118441.9171390877,13981346.0
mixed_mobile_balanced,heuristic,6,e2,eMBB,225.0,255.00000000000662,2,155906.45191201242,179528992.0
mixed_mobile_balanced,heuristic,7,u2,URLLC,209.9999999999983,339.9999999999932,2,278473.90202811564,84083592.0
mixed_mobile_balanced,heuristic,8,m2,mMTC,239.99999999999775,349.9999999999932,2,276068.73059479764,10094952.0
